class,id,text
notsarc,1,"have no predators to fear? check. who said we don't have predators? we have predators. a human's predator is another human. they may not haunt you for food but loads of them will be more than happy to kill you for many other reasons.  in the wild you can also be eaten by all sorts of other predators. you see, when you look at it from the other side, our animal predators have no problem at all eating us... your response to this so far has been 'yes but animals don't understand that it is wrong'. in other words, animals don't have the mental capacity to see death from the same 'morally unacceptable' perspective you see it from. and yet you are still trying to project your hung ups about death onto them."
notsarc,2,"2 hours? damn!  that book took me a good 2 days, it was a good book but i found it extremely slow. then again i never like books i have to read for school =)"
notsarc,3,you never played myst? damn!!! i must be really old ;)
notsarc,4,"Well, if Genesis was in fact true, then we would have to assume that God is real and the Bible more or less explains what he wants, right? And if there is someone ""up there"" who will damn you to eternal torment if you don't do what he wants (which is one interpretation of the Bible) than that might effect the way you act. I realize that that isn't exactly the same as changing your moral compass, but history has demonstrated that most people's moral will stretch to accomodate pressing needs, and I think an actual vengeful diety would qualify. "
notsarc,5,"Just making sure that everybody is aware of his evasion, misrepresentation, and dishonesty. I figured a good time to do that would be while he was accusing scientists of these things... (I figure it's a damn good illustration when a paper's author tells him to stop misrepresenting the paper, and he keeps doing it anyway.)In fairness, being a creationist isn't necessarily an indicator of dishonesty; there are plenty of creationists who are creationists simply because they are uneducated about the subject. Unfortunately, supersport isn't part of this group; he has seen the evidence and is willfully ignorant of it. "
notsarc,6,"That's is ridiculously poor logic. Simply becuase the church makes mistakes doesn't mean it's incorrect in all other charges. The US government is WAY more corrupt than the Catholic Church, and yet we obey every god-damned thing big brother makes us do. "
notsarc,7,"Well, many have argued that if you don't except a literal Genesis, you're damned. Perhaps not in this particular thread, but the arguments are esentially the same. I believe that the theological implications of that position are fair game for discussing the validity of creationism. "
notsarc,8,"Believe me, marc, we certainly can. The fact that it damns your argument is no skin off our backs. In fact, it damns your argument so much that the producers know it. See below. "
notsarc,9,"darling, i'm in the 10th year of my committed relationship. and since i haven't seen anything approaching his perfection, i think not. but thank you, though. i asked the question because enquiring minds want to know...if you have a 'hair stylist', ifn you not gay, then you metro. you don't want the label, then don't divulge that bit of info."
notsarc,10,"anyone who serves in the military is a hero. once you sign on the dotted line and take that oath, you are allowing for the possibility for death by combat at anytime. perhaps others didn't get the recognition she got, but that's not her fault. the media needed a 'darling of enduring freedom' poster child and she got picked."
notsarc,11,"his lies, his media darling status, my post above answers your question for you."
notsarc,12,"you're a darling, j. coulda used you here earlier, though, to straighten this mess out. as far as 'stalking' goes, btw, my first appearance here was 11/08/94 (the same day i told those on the ny times board about this forum. ) the poster in question (infamous on the same board, though he pretends not to be) first appeared on 11/16/04. who's stalking whom?"
notsarc,13,"darling, it isn't an analogy at all. as duo correctly observed, it is a counter. when faced with a choice between human life and animal life, one should not automatically choose the human. why is abortion worse than eating bacon and eggs? because we like babies more. not because human life is worth more, or more valuable in any way, just because we like babies more.  personally, when faced with the choice of buying dog food or sponsoring a child in africa, i choose to feed my dog. because i like my dog more than i like people i don't know."
notsarc,14,"*shudder* for whom the bell tolls might be the most horrid book ever devised. junior year english took a lot out of me. an excerpt from the book, paraphrased to the best of my memory: 'darling.' 'yes.' 'i love you.' 'oh.' 'do you?' yes.' 'you love me.' 'i love you.' 'let's hide. in this cave. while the war goes on. and die. alone. in the rain.' 'wait.' 'what?' 'how do we die alone? we're together.' 'oh yeah.' 'i love you.' 'i love you too.' my god, i wanted to tear my eyes out. so instead, i just stopped reading it. ;)  who wrote timeline? i just finished the pelican brief, by john grisham. what an amazing book."
notsarc,15,"that's just darling, and all. but it still doesn't indicate that a fetus is a small person. no one denies it's alive. no one denies it is of the species homo sapiens. no one denies that an embryo can ultimately become as person, which is the simplistic point of that cloying article. it is personhood of the fetus that is the debate. i don't think it can ever be definitively determined.  using dr. seuss was an excellent choice of reference to back your argument, however. i am not sure why you quoted shooter's post about a death sentence. however, if you really equate abortion with murder, are you willing to advocate charging the mother and doctor with premeditated murder?"
notsarc,16,"thomas jefferson, often the darling of the liberal left, once had this to offer: sect. xiv. whosoever shall be guilty of rape, polygamy, or sodomy with man or woman, shall be punished; if a man, by castration, a woman, by boring through the cartilage ofher nose a hole of one half inch in diameter at the least. - a bill for proportioning crimes and punishments"
notsarc,17,"sigh - - don't care - - and tossing around bible verses and insulting people when debater disagrees with you is? darling, all you do is alienate them."
notsarc,18,"translation: i didn't say there was no fighting in our lovely scotland, what i meant was that there's lower crime (e.g. than most parts of america). alright jimmy? (alright jimmy = scotish saying) you should go to glasgow (in scotland), they'll show you what a glasgow kiss is (glasgow has a lot of rough areas and the glasgow kiss is a head butt) ps, we don't speak like that no more, alright darling? (you are quoting very old scotish dialogue there). lol"
notsarc,19,"the gospels are awash with inconsistencies, not least when it comes to the resurrection. (i vaguely remember reading that someone has put forth an on-going--and as far as i know, still unmet--$50,000 challenge to anyone who can come up with a version that successfully satisfies the descriptions given in all four versions.) a wonderful rebuttal to an ez-esque biblical literalist named montgomery (apparently a darling of evangelicals) by an atheist lawyer can be found here: http://www.bowness.demon.co.uk/trial.htm it's highly enjoyable reading, and i commend it to one and all."
