class,id,text
notsarc,1,"Archie, the ONLY issue that gays don't have a majority support for gay equality on is gay marriage. That's it. Laws against sodomy? Majority oppose them. Laws against gay adoption? Majority oppose them. Laws against gays in the military? Majority oppos"
notsarc,2,"No, not really. All that is different is the number of steps.  What is YOUR definition of 'macro-evoution'? Is it speciation? Or is it a brand new genus?  We have observed speciation, where new species happened."
notsarc,3,"It's ashame that everyone keeps looking for the judiciary to do the legislature's work. When will the people press Congress to take up abortion? It is the job of Congress after all, to address the issues desired by it's constituents."
notsarc,4,"Almost? Usually, that is true, and it involves selection between populations. However, there are often times when some of a population is better able to survive. Those times, selection occurs within a population."
notsarc,5,And so have animals. Plants have been wiped out in the great extinctions too. [quote]Carbon dioxide producing animals could even feed themselves with their own breathe![/quot] Huh? You produce carbon dioxide. How do you propose to feed yourself with tha
notsarc,6,"Would you care to explain exactly what was lacking? For only a few minutes, that video was profoundly extensive, showing almost precisely how our eyes would have evolved."
notsarc,7,"I believe this is wrong. But this is a private company, and if they want to discriminate based on religion, that's fine, just as a church may outlaw atheists. Do I agree with it? No. But does it have to do with our debate? No. This is about the science cl"
notsarc,8,"Oh, undoubtedly - but the offspring aren't inheriting traits as such are they? They're just suffering the same symptoms of malnutrition as their parents, except that for them it's happening in vitro so they exhibit the effects from birth. That's why it's "
notsarc,9,"Are you suggesting that if abortion were banned that abortion clinics that are already done will flood the US? Please, get real here. People would probably go across the bordor and get abortions there...you might have drugs from canada come over that caus"
notsarc,10,And can you please tell me the difference between nonrandom variation and directed variation? I'd also like a link to verify what you say. Thank you. God Bless!
notsarc,11,"Of course not, but I fail to see how atheists are using science as its god, can you please explain that to me directly? Evolution doesn't refute god at all. In fact with evolution, intelligent design is entirely possible. But that still doesn't make it sc"
notsarc,12,"But the question is Can you prove your belief system is true? And all you've done is spew hate for religion but haven't even tried to actually answer the question. And ask yourself this. If the idea of God is such a man made plague, then God doesn't even "
notsarc,13,"Well by the Flood, I assume you are refering to the description given in Genesis?  Fossils we find today have been attributed to a remarkable variety of environmental settings that allowed them to be preserved. Also, you seem to be refering to the prese"
notsarc,14,"Yes. But if you rephrased the question as ""Does evil exist independent of an observer with a cohesive values system?"", I'd say ""no"". That an event is regarded as evil requires a values system, but not necessarily theism."
notsarc,15,"Who has ever made this claim? Please, show me, because I have never once heard it. Of course most individuals are physically capable of producing offspring. Natural selection is dependant upon which individuals will pass their genetic information on to th"
notsarc,16,You said who would it hurt? I'm asking you who would it hurt if there was prostituion? Just to help you think that there are injuries that are proximate to everyone.
